遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,第二區
威力彩,114000001,2025/01/02,94719700,947197,438942927,4,12,13,22,27,32,05
威力彩,114000002,2025/01/06,104988100,1049881,425437513,4,14,17,29,31,38,07
威力彩,114000003,2025/01/09,105145400,1051454,457794764,1,4,15,16,31,34,04
威力彩,114000004,2025/01/13,116853000,1168530,497744998,3,13,22,26,28,33,02
威力彩,114000005,2025/01/16,121701800,1217018,536576087,10,16,19,21,31,37,03
威力彩,114000006,2025/01/20,142520400,1425204,589215306,8,11,13,27,29,37,02
威力彩,114000007,2025/01/23,146242300,1462423,625910414,7,10,13,22,25,29,02
威力彩,114000008,2025/01/27,175482000,1754820,693169513,2,10,15,18,25,35,08
威力彩,114000009,2025/01/30,298200200,2982002,820214423,3,17,20,21,24,37,06
威力彩,114000010,2025/02/03,380006600,3800066,940111348,4,7,15,31,33,36,06
威力彩,114000011,2025/02/06,365877600,3658776,1049316951,6,18,21,32,33,37,01
威力彩,114000012,2025/02/10,445095000,4450950,1220875200,6,7,8,13,14,24,04
威力彩,114000013,2025/02/13,488575800,4885758,1362213147,2,3,11,18,30,36,07
威力彩,114000014,2025/02/17,607792500,6077925,1571230298,1,17,21,23,31,34,01
威力彩,114000015,2025/02/20,813457100,8134571,1876060705,5,6,15,19,32,37,08
威力彩,114000016,2025/02/24,1110966000,11109660,2286939279,7,15,16,23,24,35,02
威力彩,114000017,2025/02/27,86350800,863508,47492940,1,7,8,24,26,34,02
威力彩,114000018,2025/03/03,80301600,803016,74192919,12,15,20,23,26,32,05
威力彩,114000019,2025/03/06,65057800,650578,86552836,5,9,15,17,18,29,04
威力彩,114000020,2025/03/10,73658100,736581,113754890,13,16,17,20,27,31,02
威力彩,114000021,2025/03/13,62296700,622967,134015874,3,4,13,16,24,25,07
威力彩,114000022,2025/03/17,64827200,648272,156255333,1,2,3,12,18,28,04
威力彩,114000023,2025/03/20,62910300,629103,176677397,1,3,12,18,31,38,08
威力彩,114000024,2025/03/24,66125100,661251,199421101,3,17,22,24,25,33,03
威力彩,114000025,2025/03/27,59378800,593788,201423055,7,8,21,26,32,35,02
威力彩,114000026,2025/03/31,57814000,578140,218298014,2,6,7,9,12,20,04
威力彩,114000027,2025/04/03,60283300,602833,238141429,2,9,15,21,29,36,07
威力彩,114000028,2025/04/07,71272800,712728,264664868,13,21,24,25,31,36,04
威力彩,114000029,2025/04/10,66421800,664218,287164757,9,16,20,23,29,34,04
威力彩,114000030,2025/04/14,75816800,758168,316515596,1,5,9,20,29,38,02
威力彩,114000031,2025/04/17,74700600,747006,329318503,1,2,3,5,17,27,08
威力彩,114000032,2025/04/21,83019400,830194,358716872,5,9,20,29,35,36,08
威力彩,114000033,2025/04/24,79981600,799816,384789651,7,17,25,29,36,37,05
威力彩,114000034,2025/04/28,90255500,902555,417778175,2,14,17,19,29,32,05
威力彩,114000035,2025/05/01,98971200,989712,454335134,14,19,20,25,27,30,04
威力彩,114000036,2025/05/05,111962800,1119628,496610173,7,8,9,11,19,35,04
威力彩,114000037,2025/05/08,117378500,1173785,536620547,5,8,9,17,31,37,01
威力彩,114000038,2025/05/12,134852600,1348526,584908776,2,8,26,34,35,38,04
威力彩,114000039,2025/05/15,138277800,1382778,634636365,1,2,8,21,23,26,01
威力彩,114000040,2025/05/19,171414500,1714145,666882520,10,15,22,27,29,37,03
威力彩,114000041,2025/05/22,164680800,1646808,721009159,6,12,21,25,34,38,03
威力彩,114000042,2025/05/26,186683100,1866831,775637730,13,14,17,23,24,37,06
威力彩,114000043,2025/05/29,188952000,1889520,836708029,5,6,9,20,22,35,07
威力彩,114000044,2025/06/02,236427900,2364279,924007074,1,5,16,18,21,31,02
威力彩,114000045,2025/06/05,263329400,2633294,996605453,12,16,20,22,34,35,05
威力彩,114000046,2025/06/09,344377300,3443773,1132083967,3,7,9,19,24,31,02
威力彩,114000047,2025/06/12,367706400,3677064,1233678335,5,12,13,15,26,38,05
