遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,第二區
威力彩,114000048,2025/06/16,413018600,4130186,1368178998,4,11,12,18,21,26,03
威力彩,114000049,2025/06/19,458584800,4585848,1531827637,1,7,20,21,36,38,06
威力彩,114000050,2025/06/23,509251500,5092515,1685211895,6,11,20,31,32,33,06
威力彩,114000051,2025/06/26,589275000,5892750,1888767666,1,7,15,23,26,38,04
威力彩,114000052,2025/06/30,67824100,678241,37303255,1,3,9,15,22,27,05
威力彩,114000053,2025/07/03,59864300,598643,55293219,11,14,20,27,30,38,06
威力彩,114000054,2025/07/07,55619900,556199,73840463,7,9,14,23,37,38,03
威力彩,114000055,2025/07/10,54269300,542693,91813477,1,2,7,14,28,31,02
威力彩,114000056,2025/07/14,59962700,599627,104413802,3,6,19,22,37,38,04
威力彩,114000057,2025/07/17,55660800,556608,122170341,1,4,6,21,25,28,02
威力彩,114000058,2025/07/21,54831900,548319,141669585,10,18,20,24,36,38,04
威力彩,114000059,2025/07/24,54785000,547850,160831234,3,4,7,10,33,38,05
威力彩,114000060,2025/07/28,54023500,540235,178547958,12,16,18,22,24,36,05
威力彩,114000061,2025/07/31,53504700,535047,197243242,4,9,18,20,29,31,03
威力彩,114000062,2025/08/04,55098200,550982,216875051,15,16,22,27,30,32,01
威力彩,114000063,2025/08/07,61866600,618666,240547180,2,4,7,8,18,25,07
威力彩,114000064,2025/08/11,67622900,676229,262566574,3,5,9,16,18,19,02
威力彩,114000065,2025/08/14,63527900,635279,283010218,1,11,14,17,19,36,03
威力彩,114000066,2025/08/18,70622600,706226,287114144,2,5,8,17,20,26,06
威力彩,114000067,2025/08/21,55559900,555599,33108892,2,4,11,12,16,19,02
威力彩,114000068,2025/08/25,59167600,591676,52946171,1,12,14,21,36,37,03
威力彩,114000069,2025/08/28,56115100,561151,72278075,9,13,14,17,23,30,05
威力彩,114000070,2025/09/01,59348100,593481,92828229,2,7,16,18,28,29,04
威力彩,114000071,2025/09/04,55655100,556551,111125033,6,7,9,11,21,38,08
威力彩,114000072,2025/09/08,58746000,587460,129124632,7,8,14,15,25,36,06
威力彩,114000073,2025/09/11,56476600,564766,147614462,11,18,21,27,31,35,06
威力彩,114000074,2025/09/15,59234400,592344,169205281,4,16,20,33,34,38,02
威力彩,114000075,2025/09/18,56619500,566195,188907305,10,20,25,28,32,36,02
威力彩,114000076,2025/09/22,59277900,592779,210473649,10,11,14,22,31,33,02
威力彩,114000077,2025/09/25,56880200,568802,229993458,8,12,14,24,28,35,03
威力彩,114000078,2025/09/29,59048100,590481,249648012,12,16,17,20,27,36,03
威力彩,114000079,2025/10/02,62149000,621490,243833793,3,5,12,24,27,30,07
威力彩,114000080,2025/10/06,62422600,624226,36489744,5,6,9,14,15,37,05
威力彩,114000081,2025/10/09,57487800,574878,54002833,1,6,11,20,34,35,08
威力彩,114000082,2025/10/13,58587800,585878,74611322,4,6,8,18,24,28,01
威力彩,114000083,2025/10/16,54461600,544616,91278401,8,9,13,16,26,35,02
威力彩,114000084,2025/10/20,52180600,521806,97965261,8,12,19,22,24,32,05
威力彩,114000085,2025/10/23,50552200,505522,112477436,5,9,11,21,32,35,08
威力彩,114000086,2025/10/27,55325100,553251,215679118,1,11,16,20,27,36,06
威力彩,114000087,2025/10/30,50652500,506525,31746892,13,14,17,20,21,24,02
威力彩,114000088,2025/11/03,53591700,535917,50991226,4,18,20,30,32,35,04
威力彩,114000089,2025/11/06,51999100,519991,61122961,11,18,20,25,29,37,08
威力彩,114000090,2025/11/10,52760900,527609,79768255,6,12,28,29,31,32,04
威力彩,114000091,2025/11/13,49644200,496442,92586351,2,9,11,15,26,34,04
威力彩,114000092,2025/11/17,56519300,565193,112419165,17,18,19,28,34,36,06
威力彩,114000093,2025/11/20,54229600,542296,131648644,3,8,17,20,31,35,07
威力彩,114000094,2025/11/24,59688000,596880,153037643,7,9,19,20,33,34,07
威力彩,114000095,2025/11/27,54963400,549634,171631513,4,9,16,26,33,35,02
威力彩,114000096,2025/12/01,59636000,596360,193861112,5,7,8,11,32,37,02
威力彩,114000097,2025/12/04,57179900,571799,211751357,3,6,7,10,29,33,01
威力彩,114000098,2025/12/08,61830900,618309,234072351,5,14,15,20,32,37,02
威力彩,114000099,2025/12/11,60592000,605920,254783950,5,6,11,15,22,37,07
威力彩,114000100,2025/12/15,64930100,649301,277608505,19,26,28,31,32,34,06
威力彩,114000101,2025/12/18,67827300,678273,302661819,8,15,16,21,29,37,05
威力彩,114000102,2025/12/22,80973900,809739,332308163,5,16,21,25,32,34,08
威力彩,114000103,2025/12/25,77778600,777786,358374192,6,12,21,22,28,34,08
威力彩,114000104,2025/12/29,94221600,942216,393894871,1,3,9,11,18,32,06
