遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,第二區
威力彩,115000001,2026/01/01,97678700,976787,427204455,7,14,22,23,31,35,01
威力彩,115000002,2026/01/05,116182300,1161823,470513919,11,14,19,25,34,37,04
威力彩,115000003,2026/01/08,116373300,1163733,509627133,7,17,25,26,27,33,03
威力彩,115000004,2026/01/12,136942500,1369425,513266465,1,9,14,17,33,38,03
威力彩,115000005,2026/01/15,148826700,1488267,565792949,8,10,16,26,31,38,05
威力彩,115000006,2026/01/19,176491100,1764911,630430853,10,16,20,23,35,37,05
威力彩,115000007,2026/01/22,177645600,1776456,693942032,11,17,29,30,34,35,06
威力彩,115000008,2026/01/26,229275700,2292757,785564566,3,8,12,26,32,38,04
威力彩,115000009,2026/01/29,257143500,2571435,875971690,5,10,15,17,23,25,05
威力彩,115000010,2026/02/02,306515600,3065156,989511369,1,12,14,15,27,29,05
威力彩,115000011,2026/02/05,392078200,3920782,1088594426,7,22,28,34,36,37,07
威力彩,115000012,2026/02/09,537498900,5374989,1284128791,13,14,16,33,34,37,02
威力彩,115000013,2026/02/12,662453200,6624532,1540265250,6,10,22,25,32,35,03
威力彩,115000014,2026/02/16,124708000,1247080,113978155,2,6,19,33,36,38,03
威力彩,115000015,2026/02/19,130558100,1305581,160573810,2,3,6,12,23,27,04
威力彩,115000016,2026/02/23,120331900,1203319,142375671,4,10,13,24,31,35,02
威力彩,115000017,2026/02/26,80257800,802578,161748160,3,19,27,30,37,38,02
威力彩,115000018,2026/03/02,78980700,789807,222447503,7,9,11,23,25,29,05
威力彩,115000019,2026/03/05,72675000,726750,42565752,7,11,14,32,36,38,02
威力彩,115000020,2026/03/09,71605400,716054,62271233,1,11,14,17,29,32,08
威力彩,115000021,2026/03/12,65652200,656522,83445242,4,9,15,25,27,31,08
威力彩,115000022,2026/03/16,69727000,697270,107468791,14,26,28,31,32,34,01
威力彩,115000023,2026/03/19,63063800,630638,127342280,9,13,14,18,31,34,01
威力彩,115000024,2026/03/23,67418300,674183,152532944,1,9,18,28,33,38,05
威力彩,115000025,2026/03/26,60802400,608024,171345063,13,14,22,28,35,38,05
威力彩,115000026,2026/03/30,64174300,641743,193068827,2,13,21,22,29,34,01
威力彩,115000027,2026/04/02,60377300,603773,197577178,5,15,17,23,25,34,06
威力彩,115000028,2026/04/06,58547600,585476,215982257,5,8,22,27,35,38,04
威力彩,115000029,2026/04/09,62334600,623346,236754886,4,9,13,27,29,34,03
威力彩,115000030,2026/04/13,69108000,691080,260906685,3,10,11,16,19,24,05
威力彩,115000031,2026/04/16,65958900,659589,271490634,4,11,16,22,30,38,06
威力彩,115000032,2026/04/20,73790800,737908,299393573,7,13,19,34,35,37,08
威力彩,115000033,2026/04/23,73952000,739520,318905731,10,14,15,16,27,33,05
威力彩,115000034,2026/04/27,87103100,871031,350606636,6,8,27,33,35,38,02
威力彩,115000035,2026/04/30,83520300,835203,371171603,1,4,13,19,27,30,08
威力彩,115000036,2026/05/04,98126600,981266,409134732,9,21,29,32,36,38,02
威力彩,115000037,2026/05/07,101822400,1018224,445654051,3,14,15,24,34,38,03
威力彩,115000038,2026/05/11,118308500,1183085,474408878,15,19,23,26,31,38,05
威力彩,115000039,2026/05/14,112634400,1126344,511495897,6,8,9,17,21,29,08
威力彩,115000040,2026/05/18,136966900,1369669,553107542,6,7,14,25,29,34,04
威力彩,115000041,2026/05/21,137601500,1376015,599548366,6,14,22,28,35,38,01
威力彩,115000042,2026/05/25,154707700,1547077,645061038,9,17,21,24,31,33,03
威力彩,115000043,2026/05/28,156666100,1566661,697769492,1,2,24,31,34,38,03
